fdc_id,description,category,ingredients,serving_description,serving_size_g,Ash (G),"Calcium, Ca (G)","Carbohydrate, by difference (G)","Copper, Cu (G)",Energy (Atwater General Factors) (KCAL),Energy (Atwater Specific Factors) (KCAL),"Fiber, total dietary (G)","Iron, Fe (G)","Magnesium, Mg (G)","Manganese, Mn (G)",Niacin (G),Nitrogen (G),"Phosphorus, P (G)","Potassium, K (G)",Protein (G),"Sodium, Na (G)",Thiamin (G),Total lipid (fat) (G),Vitamin B-6 (G),Water (G),"Zinc, Zn (G)"
790774,"Bananas, overripe, raw",Fruits and Fruit Juices,[],1.0 Banana,110.0000,0.7370,-1.0000,22.1100,-1.0000,-1.0000,-1.0000,1.8700,-1.0000,-1.0000,-1.0000,0.0006,0.1320,-1.0000,-1.0000,0.8030,-1.0000,0.0000,0.2420,0.0003,86.1300,-1.0000
1105073,"Bananas, overripe, raw",Fruits and Fruit Juices,[],1.0 Banana,110.0000,0.7370,-1.0000,22.1100,-1.0000,93.5000,84.7000,1.8700,-1.0000,-1.0000,-1.0000,0.0006,0.1320,-1.0000,-1.0000,0.8030,-1.0000,0.0000,0.2420,0.0003,86.1300,-1.0000
790991,"Bananas, ripe and slightly ripe, raw",Fruits and Fruit Juices,[],1.0 Banana,115.0000,0.8050,0.0057,26.4500,0.0001,-1.0000,-1.0000,1.9550,0.0000,0.0322,0.0003,0.0008,0.1380,0.0253,0.3749,0.8510,0.0000,0.0001,0.3335,0.0002,86.5950,0.0002
1105314,"Bananas, ripe and slightly ripe, raw",Fruits and Fruit Juices,[],1.0 Banana,115.0000,0.8050,0.0057,26.4500,0.0001,112.7000,101.2000,1.9550,0.0000,0.0322,0.0003,0.0008,0.1380,0.0253,0.3749,0.8510,0.0000,0.0001,0.3335,0.0002,86.5950,0.0002
321611,"Beans, snap, green, canned, regular pack, drained solids",Vegetables and Vegetable Products,[],1.0 cup,129.0000,1.1481,0.0464,5.3019,0.0001,30.9600,25.8000,-1.0000,0.0010,0.0164,0.0002,-1.0000,0.2193,0.0297,0.1251,1.3416,0.3638,-1.0000,0.5031,-1.0000,120.7440,0.0002
334897,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",Beef Products,[],1.0 roast,462.0000,5.6364,0.0601,0.0000,0.0004,-1.0000,-1.0000,-1.0000,0.0140,0.0633,0.0000,0.0266,-1.0000,1.1966,1.6262,127.9740,0.2495,-1.0000,29.3832,0.0031,303.5340,0.0171
746758,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",Beef Products,[],1.0 roast,462.0000,5.6364,0.0601,0.0000,0.0004,776.1600,813.1200,-1.0000,0.0140,0.0633,0.0000,0.0266,-1.0000,1.1966,1.6262,127.9740,0.2495,-1.0000,29.3832,0.0031,303.5340,0.0171
334849,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",Beef Products,[],1.0 steak,284.0000,2.8684,0.0426,0.0000,0.0001,-1.0000,-1.0000,-1.0000,0.0054,0.0321,0.0000,0.0195,-1.0000,0.5850,0.8009,64.7520,0.1278,0.0002,18.1476,0.0016,198.5160,0.0107
746759,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",Beef Products,[],1.0 steak,284.0000,2.8684,0.0426,0.0000,0.0001,423.1600,440.2000,-1.0000,0.0054,0.0321,0.0000,0.0195,-1.0000,0.5850,0.8009,64.7520,0.1278,0.0002,18.1476,0.0016,198.5160,0.0107
334898,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",Beef Products,[],1.0 roast,690.0000,7.4520,0.0897,0.0000,0.0002,-1.0000,-1.0000,-1.0000,0.0095,0.0787,0.0000,0.0454,-1.0000,1.5318,2.1528,161.4600,0.3450,-1.0000,17.1120,0.0044,508.5300,0.0233
746760,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",Beef Products,[],1.0 roast,690.0000,7.4520,0.0897,0.0000,0.0002,800.4000,841.8000,-1.0000,0.0095,0.0787,0.0000,0.0454,-1.0000,1.5318,2.1528,161.4600,0.3450,-1.0000,17.1120,0.0044,508.5300,0.0233
334963,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",Beef Products,[],1.0 roast,788.0000,8.7468,0.1024,0.0000,0.0004,-1.0000,-1.0000,-1.0000,0.0184,0.0938,0.0000,0.0485,-1.0000,1.7336,2.4901,186.7560,0.4334,0.0005,18.9908,0.0049,577.6040,0.0279
